timestamp	sequence_index	compound_id	challenge_partition	dilution
2015-06-06T00:00:00Z	0	243	leaderboard	1/100,000
2015-06-06T00:00:01Z	1	454	leaderboard	1/100,000
2015-06-06T00:00:02Z	2	679	leaderboard	1/10
2015-06-06T00:00:03Z	3	1030	leaderboard	1/10
2015-06-06T00:00:04Z	4	1060	leaderboard	1/100,000
2015-06-06T00:00:05Z	5	2682	leaderboard	1/10
2015-06-06T00:00:06Z	6	6137	leaderboard	1/10
2015-06-06T00:00:07Z	7	6386	leaderboard	1/10
2015-06-06T00:00:08Z	8	6826	leaderboard	1/100,000
2015-06-06T00:00:09Z	9	6989	leaderboard	1/100,000
2015-06-06T00:00:10Z	10	7047	leaderboard	1/100,000
2015-06-06T00:00:11Z	11	7409	leaderboard	1/100,000
2015-06-06T00:00:12Z	12	7601	leaderboard	1/100,000
2015-06-06T00:00:13Z	13	7632	leaderboard	1/100,000
2015-06-06T00:00:14Z	14	7792	leaderboard	1/100,000
2015-06-06T00:00:15Z	15	7820	leaderboard	1/10
2015-06-06T00:00:16Z	16	7826	leaderboard	1/100,000
2015-06-06T00:00:17Z	17	8038	leaderboard	1/100,000
2015-06-06T00:00:18Z	18	8048	leaderboard	1/10
2015-06-06T00:00:19Z	19	8051	leaderboard	1/100,000
2015-06-06T00:00:20Z	20	8078	leaderboard	1/10
2015-06-06T00:00:21Z	21	8137	leaderboard	1/100,000
2015-06-06T00:00:22Z	22	8159	leaderboard	1/10
2015-06-06T00:00:23Z	23	8163	leaderboard	1/10
2015-06-06T00:00:24Z	24	8175	leaderboard	1/10
2015-06-06T00:00:25Z	25	8180	leaderboard	1/10
2015-06-06T00:00:26Z	26	8205	leaderboard	1/100,000
2015-06-06T00:00:27Z	27	8294	leaderboard	1/100,000
2015-06-06T00:00:28Z	28	8452	leaderboard	1/10
2015-06-06T00:00:29Z	29	8467	leaderboard	1/10
2015-06-06T00:00:30Z	30	8615	leaderboard	1/10
2015-06-06T00:00:31Z	31	9024	leaderboard	1/10
2015-06-06T00:00:32Z	32	10722	leaderboard	1/100,000
2015-06-06T00:00:33Z	33	11124	leaderboard	1/100,000
2015-06-06T00:00:34Z	34	11419	leaderboard	1/100,000
2015-06-06T00:00:35Z	35	12206	leaderboard	1/100,000
2015-06-06T00:00:36Z	36	12348	leaderboard	1/100,000
2015-06-06T00:00:37Z	37	12748	leaderboard	1/100,000
2015-06-06T00:00:38Z	38	13187	leaderboard	1/100,000
2015-06-06T00:00:39Z	39	13204	leaderboard	1/100,000
2015-06-06T00:00:40Z	40	13216	leaderboard	1/100,000
2015-06-06T00:00:41Z	41	13436	leaderboard	1/100,000
2015-06-06T00:00:42Z	42	14328	leaderboard	1/10
2015-06-06T00:00:43Z	43	15606	leaderboard	1/100,000
2015-06-06T00:00:44Z	44	22386	leaderboard	1/100,000
2015-06-06T00:00:45Z	45	24020	leaderboard	1/100,000
2015-06-06T00:00:46Z	46	24473	leaderboard	1/10
2015-06-06T00:00:47Z	47	31210	leaderboard	1/100,000
2015-06-06T00:00:48Z	48	31266	leaderboard	1/100,000
2015-06-06T00:00:49Z	49	33032	leaderboard	1/10
2015-06-06T00:00:50Z	50	61024	leaderboard	1/100,000
2015-06-06T00:00:51Z	51	61151	leaderboard	1/100,000
2015-06-06T00:00:52Z	52	61155	leaderboard	1/100,000
2015-06-06T00:00:53Z	53	61177	leaderboard	1/100,000
2015-06-06T00:00:54Z	54	61252	leaderboard	1/100,000
2015-06-06T00:00:55Z	55	61771	leaderboard	1/10
2015-06-06T00:00:56Z	56	62572	leaderboard	1/100,000
2015-06-06T00:00:57Z	57	520108	leaderboard	1/100,000
2015-06-06T00:00:58Z	58	638024	leaderboard	1/10
2015-06-06T00:00:59Z	59	641256	leaderboard	1/100,000
2015-06-06T00:01:00Z	60	778574	leaderboard	1/10
2015-06-06T00:01:01Z	61	1549778	leaderboard	1/100,000
2015-06-06T00:01:02Z	62	1550470	leaderboard	1/100,000
2015-06-06T00:01:03Z	63	5352539	leaderboard	1/100,000
2015-06-06T00:01:04Z	64	5355850	leaderboard	1/100,000
2015-06-06T00:01:05Z	65	5363233	leaderboard	1/100,000
2015-06-06T00:01:06Z	66	5367698	leaderboard	1/100,000
2015-06-06T00:01:07Z	67	6114390	leaderboard	1/100,000
2015-06-06T00:01:08Z	68	16220109	leaderboard	1/10
2015-06-06T00:01:09Z	69	180	test	1/10
2015-06-06T00:01:10Z	70	262	test	1/100,000
2015-06-06T00:01:11Z	71	264	test	1/100,000
2015-06-06T00:01:12Z	72	323	test	1/10
2015-06-06T00:01:13Z	73	702	test	1/100,000
2015-06-06T00:01:14Z	74	750	test	1/10
2015-06-06T00:01:15Z	75	753	test	1/10
2015-06-06T00:01:16Z	76	962	test	1/10
2015-06-06T00:01:17Z	77	1031	test	1/100,000
2015-06-06T00:01:18Z	78	3102	test	1/10
2015-06-06T00:01:19Z	79	3314	test	1/100,000
2015-06-06T00:01:20Z	80	5862	test	1/10
2015-06-06T00:01:21Z	81	5962	test	1/10
2015-06-06T00:01:22Z	82	6274	test	1/10
2015-06-06T00:01:23Z	83	6322	test	1/10
2015-06-06T00:01:24Z	84	6506	test	1/10
2015-06-06T00:01:25Z	85	6544	test	1/100,000
2015-06-06T00:01:26Z	86	6561	test	1/100,000
2015-06-06T00:01:27Z	87	6669	test	1/10
2015-06-06T00:01:28Z	88	7092	test	1/10
2015-06-06T00:01:29Z	89	7137	test	1/10
2015-06-06T00:01:30Z	90	7302	test	1/100,000
2015-06-06T00:01:31Z	91	7476	test	1/10
2015-06-06T00:01:32Z	92	7559	test	1/100,000
2015-06-06T00:01:33Z	93	7657	test	1/10
2015-06-06T00:01:34Z	94	7770	test	1/100,000
2015-06-06T00:01:35Z	95	7793	test	1/100,000
2015-06-06T00:01:36Z	96	7797	test	1/100,000
2015-06-06T00:01:37Z	97	8025	test	1/10
2015-06-06T00:01:38Z	98	8049	test	1/10
2015-06-06T00:01:39Z	99	8094	test	1/100,000
2015-06-06T00:01:40Z	100	8419	test	1/10
2015-06-06T00:01:41Z	101	8438	test	1/10
2015-06-06T00:01:42Z	102	8468	test	1/10
2015-06-06T00:01:43Z	103	8815	test	1/100,000
2015-06-06T00:01:44Z	104	8878	test	1/100,000
2015-06-06T00:01:45Z	105	9012	test	1/10
2015-06-06T00:01:46Z	106	10886	test	1/10
2015-06-06T00:01:47Z	107	11567	test	1/100,000
2015-06-06T00:01:48Z	108	12020	test	1/100,000
2015-06-06T00:01:49Z	109	12265	test	1/100,000
2015-06-06T00:01:50Z	110	12377	test	1/100,000
2015-06-06T00:01:51Z	111	15654	test	1/100,000
2015-06-06T00:01:52Z	112	16537	test	1/100,000
2015-06-06T00:01:53Z	113	17898	test	1/100,000
2015-06-06T00:01:54Z	114	18467	test	1/100,000
2015-06-06T00:01:55Z	115	21363	test	1/100,000
2015-06-06T00:01:56Z	116	27440	test	1/100,000
2015-06-06T00:01:57Z	117	31219	test	1/100,000
2015-06-06T00:01:58Z	118	31276	test	1/100,000
2015-06-06T00:01:59Z	119	31283	test	1/10
2015-06-06T00:02:00Z	120	60998	test	1/100,000
2015-06-06T00:02:01Z	121	61523	test	1/100,000
2015-06-06T00:02:02Z	122	62089	test	1/10
2015-06-06T00:02:03Z	123	62351	test	1/100,000
2015-06-06T00:02:04Z	124	62465	test	1/100,000
2015-06-06T00:02:05Z	125	251531	test	1/100,000
2015-06-06T00:02:06Z	126	440917	test	1/100,000
2015-06-06T00:02:07Z	127	637758	test	1/100,000
2015-06-06T00:02:08Z	128	853433	test	1/100,000
2015-06-06T00:02:09Z	129	1549025	test	1/10
2015-06-06T00:02:10Z	130	2733294	test	1/100,000
2015-06-06T00:02:11Z	131	5281167	test	1/100,000
2015-06-06T00:02:12Z	132	5281168	test	1/100,000
2015-06-06T00:02:13Z	133	5318599	test	1/100,000
2015-06-06T00:02:14Z	134	5352837	test	1/100,000
2015-06-06T00:02:15Z	135	5364231	test	1/100,000
2015-06-06T00:02:16Z	136	5371102	test	1/100,000
2015-06-06T00:02:17Z	137	10857465	test	1/10
